批id, 次id, 异常数量, 总数,
1606985698,1606985722,0,0,
1606985698,1606985726,0,0,
1606985698,1606985733,0,0,
1606985733,1606985736,0,0,
1606985733,1606985739,6,0,
1606986055,1606986121,0,0,
1606986055,1606986122,0,0,
1606986055,1606986124,0,0,
1606986127,1606986128,0,0,
1606986127,1606986144,20,0,
1606986127,1606986287,0,0,
1606986289,1606986291,0,0,
1606986289,1606986292,6,0,
1606986289,1606986370,0,0,
1606986409,1606986411,0,0,
1606986409,1606986416,12,0,
1606986409,1606986796,0,0,
1606986409,1606986833,20,0,
1606986409,1606986970,0,0,
1606986972,1606986974,0,0,
1606986972,1606986975,6,0,
1606986972,1606987955,0,0,
1606987957,1606987958,0,0,
1606987957,1606987960,8,0,
1606987957,1606987989,1,0,
1606987957,1606987993,8,0,
1606987957,1606988048,0,0,
1606988050,1606988052,0,0,
1606988050,1606988053,4,0,
1606988050,1606992627,1,0,
1606992632,1606992634,0,0,
1606992632,1606992635,5,0,
1606992632,1606992658,1,0,
1606992632,1606992659,2,0,
1606992674,1606992678,0,0,
1606992674,1606992679,1,0,
1606992691,1606992692,0,0,
1606992691,1606992693,1,0,
1606992691,1606992718,0,0,
1606992691,1606992719,1,0,
1606992691,1606992721,0,0,
1606992721,1606992725,0,0,
1606992721,1606992727,1,0,
1606992721,1606992732,1,0,
1606992734,1606992736,0,0,
1606992734,1606992736,1,0,
1606992791,1606992794,0,0,
1606992791,1606992795,3,0,
1606992791,1606992918,1,0,
1606992921,1606992922,0,0,
1606992921,1606992924,6,0,
1606992921,1606993053,1,0,
1606993057,1606993060,0,0,
1606993057,1606993063,0,0,
1606993057,1606994596,1,0,
1606994598,1606994610,0,0,
1606994598,1606994611,4,0,
1606994598,1606994946,1,0,
1606994948,1606994950,0,0,
1606994948,1606994951,2,0,
1606994948,1606995498,1,0,
1606995504,1606995506,0,0,
1606995504,1606995508,5,0,
1606995504,1606995743,0,0,
1606995747,1606995748,0,0,
1606995747,1606995749,3,0,
1606995747,1606995830,1,0,
1606995833,1606995834,0,0,
1606995833,1606995835,2,0,
1606995833,1606995868,1,0,
1606995985,1606996074,0,0,
1606995985,1606996075,4,0,
1606995985,1607000834,1,0,
1607001152,1607001465,0,0,
1607001551,1607001886,0,0,
1607005280,1607005285,0,0,
1607005280,1607005288,8,0,
1607005280,1607005292,0,0,
1607005292,1607005345,0,0,
1607005345,1607005350,0,0,
1607005482,1607005518,0,0,
1607010397,1607010399,0,0,
1607010397,1607010410,18,0,
1607010397,1607010520,1,0,
1607010528,1607010531,0,0,
1607010528,1607010546,19,0,
1607010743,1607010751,0,0,
1607010752,1607010754,0,0,
1607010931,1607010933,0,0,
1607010931,1607010936,11,0,
1607010931,1607010937,0,0,
1607010931,1607010938,3,0,
1607010931,1607010951,0,0,
1607010931,1607010965,57,0,
1607011014,1607011035,0,0,
1607011036,1607011051,0,0,
1607011054,1607011086,0,0,
1607011086,1607011106,0,0,
1607011106,1607011116,0,0,
1607011117,1607011127,0,0,
1607011127,1607011139,0,0,
1607011139,1607011147,0,0,
1607011147,1607011157,0,0,
1607011158,1607011169,0,0,
1607011170,1607011179,0,0,
1607011179,1607011189,0,0,
1607011190,1607011200,0,0,
